Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,Author 9,Author 10,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Country 1,Country 2,Country 3,Country 4,Country 5,Country 6,Country 7,Country 8,Country 9,Country 10,Country 11,Country 12,Country 13,Country 14,Country 15,Country 16,Country 17,Country 18,University 1,University 2,University 3,University 4,University 5,University 6,University 7,University 8,University 9,University 10,University 11,University 12,University 13,University 14,University 15,University 16,University 17,University 18,Author with Affliliation 1,Author with Affliliation 2,Author with Affliliation 3,Author with Affliliation 4,Author with Affliliation 5,Author with Affliliation 6,Author with Affliliation 7,Author with Affliliation 8,Author with Affliliation 9,Author with Affliliation 10,Document Type,Publication Stage,Source,EID
"Akbar, Mahmood (59704889100)","Ogalo, Habil Slade (57209607451)","Sankar, Jayendira P. (57222758353)","Ramayah, T. (57222416490)",,,,,,,59704889100; 57209607451; 57222758353; 57222416490,Exploring adoption of E-learning in the Gulf Cooperation Council (GCC) education sector,2025,Discover Sustainability,0,10.1007/s43621-025-00950-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000840133&doi=10.1007%2Fs43621-025-00950-2&partnerID=40&md5=7242ac716fcbc9d03ed827933302ea39,Bahrain,Bahrain,Malaysia,Bangladesh,Malaysia,India,Oman,Jordan,Indonesia,Malaysia,,,,,,,,,Arab Open University - Bahrain,University of Technology Bahrain,Universiti Sains Malaysia,Daffodil International University,Sunway Business School (SBS),Chandigarh University,Sohar University,School of Business University of Jordan,Fakultas Ekonomi dan Bisnis,Asia Pacific University of Technology and Innovation,,,,,,,,,Mahmood Akbar - Arab Open University - Bahrain,Habil Slade Ogalo - Arab Open University - Bahrain,Jayendira P. Sankar - University of Technology Bahrain,T. Ramayah - Universiti Sains Malaysia,,,,,,,Article,Final,Scopus,2-s2.0-105000840133
"Sutrisno, Muhammad Siddiq Fadhil (57221685588)","Mohd Fadzil, Syazwani Mohd (36522408700)","Sayyed, M. I. (57189890554)","Nazrin, S. N. (57201365934)","Hisam, Rosdiyana (36674865100)",,,,,,57221685588; 36522408700; 57189890554; 57201365934; 36674865100,Radiation shielding parameters of lithium bismuth tellurite glass system for uranium immobilization,2025,Radiation Physics and Chemistry,1,10.1016/j.radphyschem.2025.112937,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005599734&doi=10.1016%2Fj.radphyschem.2025.112937&partnerID=40&md5=ab514cc04abfeaef30788bb5672bf2a5,Malaysia,Malaysia,Jordan,Saudi Arabia,Azerbaijan,Malaysia,,,,,,,,,,,,,Universiti Kebangsaan Malaysia,Universiti Teknologi MARA,Isra University,University of Tabuk,Western Caspian University Baku,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,Muhammad Siddiq Fadhil Sutrisno - Universiti Kebangsaan Malaysia,Syazwani Mohd Mohd Fadzil - Universiti Kebangsaan Malaysia,M. I. Sayyed - Isra University,S. N. Nazrin - Kuala Lumpur,Rosdiyana Hisam - Universiti Teknologi MARA,,,,,,Article,Final,Scopus,2-s2.0-105005599734
"Indran, Divvya K. (60087129900)","Shuhili, Juhairi Aris Bin Muhamad (57211199569)","Kusairee, Muhammad A.Z.A. (60087393100)","Hyun, Lee Jang (57219152640)","Wong, Siew Fan (60087197400)","Saaid, Ismail Mohd (7801463887)","Haron, Hazliza (56940340400)","Kwon, Sunil I. (8609272900)",,,60087129900; 57211199569; 60087393100; 57219152640; 60087197400; 7801463887; 56940340400; 8609272900,IMPACT OF HENRY’S LAW COEFFICIENT ON CARBON DIOXIDE (CO2) SEQUESTRATION IN SABAH BASIN SALINE AQUIFER,2025,Journal of Engineering Science and Technology,0,nan,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015182811&partnerID=40&md5=124f1ed523370cc932c44a583c4d02d3,Malaysia,Malaysia,Malaysia,South Korea,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,Universiti Teknologi MARA,Universiti Teknologi PETRONAS,Dong-A University,,,,,,,,,,,,,,,Divvya K. Indran - Asia Pacific University of Technology and Innovation,Juhairi Aris Bin Muhamad Shuhili - Universiti Teknologi MARA,Muhammad A.Z.A. Kusairee - Universiti Teknologi MARA,Lee Jang Hyun - Universiti Teknologi PETRONAS,Siew Fan Wong - Asia Pacific University of Technology and Innovation,Ismail Mohd Saaid - Universiti Teknologi PETRONAS,Hazliza Haron - Universiti Teknologi MARA,Sunil I. Kwon - Busan,,,Article,Final,Scopus,2-s2.0-105015182811
"Soon, Kian Lun (57205191659)","Soon, Lam Tatt (59596296900)","Lai, Nai Shyan (59972175100)","Raveendran, Paramesaran (7003887302)","Lian, Wen Xun (57537047000)","Lau, Cheeyong (60038811000)",,,,,57205191659; 59596296900; 59972175100; 7003887302; 57537047000; 60038811000,Boosting battery health prediction in electric vehicles via extended quantum optimized model with gaussian process regression,2025,Next Materials,0,10.1016/j.nxmate.2025.101086,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013866731&doi=10.1016%2Fj.nxmate.2025.101086&partnerID=40&md5=6cde19b72cceb2077e58879bba3becbd,Malaysia,Malaysia,Malaysia,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,Taylor's University Malaysia,Universiti Malaya,,,,,,,,,,,,,,,,Kian Lun Soon - Asia Pacific University of Technology and Innovation,Lam Tatt Soon - Taylor's University Malaysia,Nai Shyan Lai - Asia Pacific University of Technology and Innovation,Paramesaran Raveendran - Universiti Malaya,Wen Xun Lian - Asia Pacific University of Technology and Innovation,Cheeyong Lau - Asia Pacific University of Technology and Innovation,,,,,Article,Final,Scopus,2-s2.0-105013866731
"Dalvi-Esfahani, Mohammad (57189758024)","Barati Ahmadabadi, Hajar (57219993228)","Ramayah, T. (57222416490)","Turner, Jason (59885593000)","A.Iahad, Noorminshah (59561385600)","Azar, Nasrin (58155587900)",,,,,57189758024; 57219993228; 57222416490; 59885593000; 59561385600; 58155587900,Stimulus-organism-response framework of decision-makers intention to adopt generative AI to replace entry-level jobs: The moderating impact of personality traits,2025,Technological Forecasting and Social Change,0,10.1016/j.techfore.2025.124291,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010911886&doi=10.1016%2Fj.techfore.2025.124291&partnerID=40&md5=06f9a2f5fa264a896fd04993d1d53400,United Kingdom,Iran,Malaysia,Malaysia,Bangladesh,India,Indonesia,Oman,Jordan,Malaysia,Bahrain,United Kingdom,Malaysia,,,,,,University of Southampton,University of Isfahan,Universiti Sains Malaysia,Sunway Business School (SBS),Daffodil International University,University Center for Research & Development (UCRD),Fakultas Ekonomi dan Bisnis,Sohar University,School of Business University of Jordan,Asia Pacific University of Technology and Innovation,University of Technology Bahrain,University of Southampton,Universiti Teknologi Malaysia,,,,,,Mohammad Dalvi-Esfahani - Southampton,Hajar Barati Ahmadabadi - University of Isfahan,T. Ramayah - Universiti Sains Malaysia,Jason Turner - Southampton,Noorminshah A.Iahad - Universiti Teknologi Malaysia,Nasrin Azar - Southampton,,,,,Article,Final,Scopus,2-s2.0-105010911886
"Gurav, Yogesh B. (57205762049)","Alagirisamy, Mukil (57194716418)","Selvaperumal, Sathish Kumar (59454536000)","Shirbahadurkar, Suresh Damodar (24825795400)","Patil, Bankat M. (57348305600)",,,,,,57205762049; 57194716418; 59454536000; 24825795400; 57348305600,Improved Signcryption algorithm for cloud virtual machines,2025,Computers and Electrical Engineering,0,10.1016/j.compeleceng.2025.110499,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010215066&doi=10.1016%2Fj.compeleceng.2025.110499&partnerID=40&md5=274b26446306755a0c7c693639f8cd48,India,Malaysia,India,India,,,,,,,,,,,,,,,Dr. D. Y. Patil Technical Campus,Asia Pacific University of Technology and Innovation,Dr. D. Y. Patil Technical Campus,Shreeyash College of Engineering & Technology,,,,,,,,,,,,,,,Yogesh B. Gurav - Dr. D. Y. Patil Technical Campus,Mukil Alagirisamy - Asia Pacific University of Technology and Innovation,Sathish Kumar Selvaperumal - Asia Pacific University of Technology and Innovation,Suresh Damodar Shirbahadurkar - Pune,Bankat M. Patil - Aurangabad,,,,,,Article,Final,Scopus,2-s2.0-105010215066
"Mobayen, S. (24822975200)","Assareh, Ehsanolah (35145449000)","Dezhdar, Ali (58167076000)","Hosseinzadeh, Siamak (55295886500)","Astiaso Garcia, Davide (57211258655)",,,,,,24822975200; 35145449000; 58167076000; 55295886500; 57211258655,Dynamic analysis and multi-objective optimization of an integrated solar energy system for Zero-Energy residential complexes,2025,Energy Conversion and Management,0,10.1016/j.enconman.2025.119924,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008086086&doi=10.1016%2Fj.enconman.2025.119924&partnerID=40&md5=e2ba9c9ae0a1f77010c596d1d71afd0b,Taiwan,Australia,Malaysia,Iran,Italy,Italy,,,,,,,,,,,,,National Yunlin University of Science and Technology,Victoria University,Asia Pacific University of Technology and Innovation,Islamic Azad University,Sapienza Università di Roma,Sapienza Università di Roma,,,,,,,,,,,,,S. Mobayen - Douliou,Ehsanolah Assareh - Victoria University,Ali Dezhdar - Islamic Azad University,Siamak Hosseinzadeh - Sapienza Università di Roma,Davide Astiaso Garcia - Sapienza Università di Roma,,,,,,Article,Final,Scopus,2-s2.0-105008086086
"Yong, Jaff Choong Gian (60064924200)",,,,,,,,,,60064924200,Unlocking healing through neuro-dramatic-play in Malaysia: A journey of empowerment,2025,nan,0,10.4324/9781003498209-14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014060543&doi=10.4324%2F9781003498209-14&partnerID=40&md5=72fdb9fcdf307f605bef34de5e6f86ef,Malaysia,,,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,,Jaff Choong Gian Yong - Kuala Lumpur,,,,,,,,,,Book chapter,Final,Scopus,2-s2.0-105014060543
"Shizhen, Lin (59680651700)","Hussain, K. (8836127600)","Ari Ragavan, Neethiahnanthan (59679783700)","Nisar, Qasim Ali (57196414030)",,,,,,,59680651700; 8836127600; 59679783700; 57196414030,"The role of destination brand experience, emotions and brand credibility in influencing destination brand equity",2025,Journal of Hospitality and Tourism Insights,2,10.1108/JHTI-09-2024-1000,https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000653983&doi=10.1108%2FJHTI-09-2024-1000&partnerID=40&md5=70d32bd0a20ce5a355d386e344dda68a,China,Malaysia,Malaysia,Australia,,,,,,,,,,,,,,,Haikou University of Economics,Taylor's University Malaysia,Asia Pacific University of Technology and Innovation,CQUniversity Australia,,,,,,,,,,,,,,,Lin Shizhen - Haikou University of Economics,K. Hussain - Asia Pacific University of Technology and Innovation,Neethiahnanthan Ari Ragavan - Taylor's University Malaysia,Qasim Ali Nisar - CQUniversity Australia,,,,,,,Article,Final,Scopus,2-s2.0-86000653983
"Ibrahim, Shahad S. (59205409600)","Zafar, Mudasar (57213077794)","Daabo, Ahmed Mahmood (57190343632)","Yaseen, Abdulelah Hameed (58041870100)","al-Amir, Qusay Rasheed Abd (57214102140)",,,,,,59205409600; 57213077794; 57190343632; 58041870100; 57214102140,Three dimensional analysis and aerodynamic modelling of different wind turbine blade profiles accounting materials’ Roughness impact,2025,Results in Engineering,0,10.1016/j.rineng.2025.106704,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013555471&doi=10.1016%2Fj.rineng.2025.106704&partnerID=40&md5=1830ace7b652a3393dc2a2eca86872c9,Iraq,Malaysia,Iraq,Iraq,,,,,,,,,,,,,,,University of Mosul,Asia Pacific University of Technology and Innovation,Al-Kitab University,Al-Mustaqbal University,,,,,,,,,,,,,,,Shahad S. Ibrahim - University of Mosul,Mudasar Zafar - Asia Pacific University of Technology and Innovation,Ahmed Mahmood Daabo - University of Mosul,Abdulelah Hameed Yaseen - Al-Kitab University,Qusay Rasheed Abd al-Amir - Al-Mustaqbal University,,,,,,Article,Final,Scopus,2-s2.0-105013555471
